ETLControlID,SourceSystem,Source,Sink,ColumnMetadata,DeltaDetect,DeltaDetectType,MinExpression,MaxExpression,SinkLoadProcedureName,SinkPreLoadScript,SinkWriteBatchSize,DIU,TriggerType,SourceQuery,LoadType,TableType,SourceTypeID,IsActive,Note,UpdatedDate,IsDeletionRequired,SourceTableCompositeKey,SheetNames,ETLSourceTableID,ETLRunGroup
10977,ARCFM,"[{""SQLSource"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SchemaName"":""ARCFM"",""TableName"":""STRUCTURECIRCUITS""}}]","[{""SQLSink"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SinkSchema"":""ARCFM"",""SinkTable"":""STRUCTURECIRCUITS""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,ARCFM.usp_Load_STRUCTURECIRCUITS,NULL,20000,2,Daily,NULL,Full,Stage2,1,1,NULL,24:08.5,NULL,NULL,NULL,NULL,NULL
10978,ARCFM,"[{""SQLSource"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SchemaName"":""ARCFM"",""TableName"":""DISTRIBUTION_MASHUP""}}]","[{""SQLSink"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SinkSchema"":""ARCFM"",""SinkTable"":""DISTRIBUTION_MASHUP""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,ARCFM.usp_Load_DISTRIBUTION_MASHUP,NULL,20000,2,Daily,NULL,Full,Stage2,1,1,NULL,24:08.7,NULL,NULL,NULL,NULL,NULL
11007,ARCFM,"[{""FileSource"":{""FileRoot"":""dls\\Raw\\ARCFM"",""FilePath"":""DISTRIBUTION_MASHUP\\DISTRIBUTION_MASHUP"",""FileName"":""""}}]","[{""SQLSink"":{""ServerName"":""syn-ipcdev-dataservices-dev.sql.azuresynapse.net"",""DatabaseName"":""sqldwdataservices"",""SinkSchema"":""stagingARCFM"",""SinkTable"":""DISTRIBUTION_MASHUP""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,,NULL,25000,2,Daily,NULL,Full,Stage,3,1,Loading data from azure data lake storage to staging tables,23:52.6,NULL,NULL,NULL,10165,NULL
10981,ARCFM,"[{""SQLSource"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SchemaName"":""ARCFM"",""TableName"":""T_CONDUCTORINFO""}}]","[{""SQLSink"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SinkSchema"":""ARCFM"",""SinkTable"":""T_CONDUCTORINFO""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,ARCFM.usp_Load_T_CONDUCTORINFO,NULL,20000,2,Daily,NULL,Full,Stage2,1,1,NULL,24:10.1,NULL,NULL,NULL,NULL,NULL
10982,ARCFM,"[{""SQLSource"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SchemaName"":""ARCFM"",""TableName"":""CONDUCTORINFO""}}]","[{""SQLSink"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SinkSchema"":""ARCFM"",""SinkTable"":""CONDUCTORINFO""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,ARCFM.usp_Load_CONDUCTORINFO,NULL,20000,2,Daily,NULL,Full,Stage2,1,1,NULL,24:24.4,NULL,NULL,NULL,NULL,NULL
10984,PBI,"[{""APISource"":{""HostName"":""https:\/\/api.fabric.microsoft.com"",""ServiceName"":""\/v1\/connections"",""SourceFileName"":""Connections"",""SourceLoop"":""0"",""SourceLoopTable"":"""",""SourceLoopColumn"":"""",""JSONQuery"":""SELECT [id], [gatewayId], [displayName], [connectivityType], [path], [type], [privacyLevel], [credentialType], [singleSignOnType], [connectionEncryption], [skipTestConnection] FROM OPENROWSET( BULK 'https://dlsipcdevdataservicesdev.dfs.core.windows.net/dls/', FORMAT = 'CSV', FIELDQUOTE = '0x0b', FIELDTERMINATOR ='0x0b', ROWTERMINATOR = '0x0b' ) WITH ( jsonContent varchar(MAX) ) AS [Connections] OUTER APPLY openjson (jsonContent) WITH ( \""value\"" NVARCHAR(MAX) AS JSON) OUTER APPLY openjson (value) WITH ( [id] NVARCHAR(36) '$.id', [gatewayId] NVARCHAR(36) '$.gatewayId', [displayName] NVARCHAR(255) '$.displayName', [connectivityType] NVARCHAR(255) '$.connectivityType', \""connectionDetails\"" NVARCHAR(MAX) AS JSON, [privacyLevel] NVARCHAR(255) '$.privacyLevel', \""credentialDetails\"" NVARCHAR(MAX) AS JSON ) OUTER APPLY openjson (\""connectionDetails\"") WITH ( [path] NVARCHAR(255) '$.path', [type] NVARCHAR(255) '$.type' ) OUTER APPLY openjson (\""credentialDetails\"") WITH ( [credentialType] NVARCHAR(255) '$.credentialType', [singleSignOnType] NVARCHAR(255) '$.singleSignOnType', [connectionEncryption] NVARCHAR(255) '$.connectionEncryption', [skipTestConnection] NVARCHAR(255) '$.skipTestConnection')""}}]","[{""FileSink"":{""FileRoot"":""dls\\Raw\\PBI"",""FilePath"":""Connections\\YYYY\\MM\\DD\\"",""FileName"":""Connections_*.parquet""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,NULL,NULL,20000,2,Daily,NULL,Full,Source,6,1,Loading data from source to azure data lake storage,16:55.0,NULL,NULL,NULL,NULL,NULL
11010,ARCFM,"[{""FileSource"":{""FileRoot"":""dls\\Raw\\ARCFM"",""FilePath"":""TRANSFORMER_SERVICE_AREA\\TRANSFORMER_SERVICE_AREA"",""FileName"":""""}}]","[{""SQLSink"":{""ServerName"":""syn-ipcdev-dataservices-dev.sql.azuresynapse.net"",""DatabaseName"":""sqldwdataservices"",""SinkSchema"":""stagingARCFM"",""SinkTable"":""TRANSFORMER_SERVICE_AREA""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,,NULL,25000,2,Daily,NULL,Full,Stage,3,1,Loading data from azure data lake storage to staging tables,23:52.7,NULL,NULL,NULL,10162,NULL
11014,ARCFM,"[{""FileSource"":{""FileRoot"":""dls\\Raw\\ARCFM"",""FilePath"":""T_INSPECTIONS\\T_INSPECTIONS"",""FileName"":""""}}]","[{""SQLSink"":{""ServerName"":""syn-ipcdev-dataservices-dev.sql.azuresynapse.net"",""DatabaseName"":""sqldwdataservices"",""SinkSchema"":""stagingARCFM"",""SinkTable"":""T_INSPECTIONS""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,,NULL,25000,2,Daily,NULL,Full,Stage,3,1,Loading data from azure data lake storage to staging tables,23:53.1,NULL,NULL,NULL,10158,NULL
11019,ARCFM,"[{""FileSource"":{""FileRoot"":""dls\\Raw\\ARCFM"",""FilePath"":""STRUCTURECIRCUITS\\STRUCTURECIRCUITS"",""FileName"":""""}}]","[{""SQLSink"":{""ServerName"":""syn-ipcdev-dataservices-dev.sql.azuresynapse.net"",""DatabaseName"":""sqldwdataservices"",""SinkSchema"":""stagingARCFM"",""SinkTable"":""STRUCTURECIRCUITS""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,,NULL,25000,2,Daily,NULL,Full,Stage,3,1,Loading data from azure data lake storage to staging tables,24:03.7,NULL,NULL,NULL,10157,NULL
11024,ARCFM,"[{""FileSource"":{""FileRoot"":""dls\\Raw\\ARCFM"",""FilePath"":""DOMAIN_LOOKUP_A\\DOMAIN_LOOKUP_A"",""FileName"":""""}}]","[{""SQLSink"":{""ServerName"":""syn-ipcdev-dataservices-dev.sql.azuresynapse.net"",""DatabaseName"":""sqldwdataservices"",""SinkSchema"":""stagingARCFM"",""SinkTable"":""DOMAIN_LOOKUP_A""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,,NULL,25000,2,Daily,NULL,Full,Stage,3,1,Loading data from azure data lake storage to staging tables,24:15.4,NULL,NULL,NULL,10174,NULL
